company,year,quarter,amount_usd_m,capital_type,energy_subsector,data_center_link,recipient_type,relevance,source_url,note,provenance
X-energy,2024,Q3,500,corporate-strategic,nuclear / SMR,"EXPLICIT (Amazon, ~5GW for data centers)",startup,power-supply,https://news.crunchbase.com/venture/biggest-non-ai-related-rounds-2024-epic-generate/,"'Rockville, Maryland-based company is developing advanced small modular nuclear reactors f",repo:landmark_deals.csv
Base Power,2025,Q2,200,VC equity,energy storage,general,startup,power-supply,https://news.crunchbase.com/clean-tech-and-energy/sustainability-funding-falling-2025/,"'The largest [2025 cleantech round] was a $200 million Series B for Base Power, an Austin,",repo:landmark_deals.csv
Peregrine Energy,2023,Q3,700,unknown,distributed energy,general,startup,power-supply,https://news.crunchbase.com/venture/biggest-rounds-august-2023-redwood-peregrine/,'Peregrine Energy raised $700M' in August 2023 — appeared #2 in Crunchbase's biggest round,repo:landmark_deals.csv
Silicon Ranch,2022,Q2,600,equity (growth/PE),utility-scale solar,general,established,power-supply,https://understory.substack.com/p/139-2022-climate-tech-funding-almost,Solar energy company raised $600M round in 2022. One of the notable 2022 climate rounds ou,repo:landmark_deals.csv
Generate Capital,2022,Q3,1500,project finance (debt+equity),sustainable infrastructure,general,established,power-supply,https://news.crunchbase.com/venture/biggest-funding-rounds-ai-defense-anthropic-epirus/,Crunchbase weekly 'Lots of big rounds this week with none bigger than the whopping $1.5 bi,repo:landmark_deals.csv
Northvolt,2024,Q1,5000,project finance,battery manufacturing,general (grid/EV),scale-up,energy-adjacent,https://news.crunchbase.com/clean-tech-and-energy/clean-tech-energy-cleantech-startup-funding-venture-northvolt-sila/,"'Northvolt, a sustainability-focused battery manufacturer, landed $5 billion in project fi",repo:landmark_deals.csv
H2 Green Steel,2024,Q1,4600,project finance (debt),green hydrogen / steel,general (industrial),scale-up,energy-adjacent,https://news.crunchbase.com/clean-tech-and-energy/clean-tech-energy-cleantech-startup-funding-venture-northvolt-sila/,'H2 Green Steel closed on $4.6 billion in debt financing to go toward what it described as,repo:landmark_deals.csv
Verkor,2023,Q3,2100,equity+debt,battery gigafactory,general (EV),startup,energy-adjacent,https://news.crunchbase.com/clean-tech-and-energy/global-sustainability-funding-eoy-2023,"'Most heavily funded [of 2023]: Verkor, a French startup focused on low-carbon battery man",repo:landmark_deals.csv
